시도별(1),시도별(2),시도별(3),종이류,플라스틱류,유리류,종이류,유리병류,플라스틱류
합계,발생량,소계,5039.9,2656.4,412.8,4130.2,1693.9,1067.3
합계,처리량,매립,1115,652.2,304.7,0,0,0
합계,처리량,소 각,3714.4,1876.1,87,0,0,0
합계,처리량,재활용,210.5,128.1,21.1,4130.2,1693.9,1067.3
서울,발생량,소계,748.8,258.4,21,1326,444.8,257.2
서울,처리량,매 립,150.4,56.8,11.5,0,0,0
서울,처리량,소 각,597.1,200.5,9.5,0,0,0
서울,처리량,재활용,1.3,1.1,0,1326,444.8,257.2
부산,발생량,소계,341.9,180.5,20.1,654.7,172.8,139.4
부산,처리량,매 립,40.7,22.7,11.2,0,0,0
부산,처리량,소 각,165.1,78.9,5.3,0,0,0
부산,처리량,재활용,136.1,78.9,3.6,654.7,172.8,139.4
대구,발생량,소계,109.5,136.5,41.8,190.3,100.8,51.9
대구,처리량,매 립,56.4,80.1,36.4,0,0,0
대구,처리량,소 각,53.1,56.4,5.4,0,0,0
대구,처리량,재활용,0,0,0,190.3,100.8,51.9
인천,발생량,소계,124.1,41.1,11.5,9.4,22.8,8.1
인천,처리량,매 립,12.1,4.2,11.4,0,0,0
인천,처리량,소 각,112,36.9,0.1,0,0,0
인천,처리량,재활용,0,0,0,9.4,22.8,8.1
광주,발생량,소계,107.2,81.1,20,20.6,44,47.8
광주,처리량,매 립,41.9,30.8,8.2,0,0,0
광주,처리량,소 각,65.3,50.3,11.8,0,0,0
광주,처리량,재활용,0,0,0,20.6,44,47.8
대전,발생량,소계,130.1,87.4,6.7,136,97,55.6
대전,처리량,매 립,39.3,29,6.2,0,0,0
대전,처리량,소 각,90.8,58.4,0.5,0,0,0
대전,처리량,재활용,0,0,0,136,97,55.6
울산,발생량,소계,89.5,56.8,14.9,103.2,52.5,20.1
울산,처리량,매 립,0,0,7.4,0,0,0
울산,처리량,소 각,89.5,56.8,7.5,0,0,0
울산,처리량,재활용,0,0,0,103.2,52.5,20.1
세종,발생량,소계,16.6,10.8,1.6,1.5,2,1.1
세종,처리량,매립,0,0,0,0,0,0
세종,처리량,소각,13.1,8.2,0,0,0,0
세종,처리량,재활용,3.5,2.6,1.6,1.5,2,1.1
경기,발생량,소계,1330.1,627.8,70.8,509.4,421.9,215.1
경기,처리량,매 립,90.4,59.7,54.5,0,0,0
경기,처리량,소 각,1232.3,560.6,15.6,0,0,0
경기,처리량,재활용,7.4,7.5,0.7,509.4,421.9,215.1
강원,발생량,소계,175.4,163,23.7,207.5,62.6,41.1
강원,처리량,매 립,79.8,39,22.4,0,0,0
강원,처리량,소 각,89.4,118.1,0,0,0,0
강원,처리량,재활용,6.2,5.9,1.3,207.5,62.6,41.1
충북,발생량,소계,167.4,74.8,7.6,196.5,41.6,52.3
충북,처리량,매 립,3.9,3.1,5.2,0,0,0
충북,처리량,소 각,157.6,68.8,1.8,0,0,0
충북,처리량,재활용,5.9,2.9,0.6,196.5,41.6,52.3
충남,발생량,소계,321,177.1,30.8,99.2,44.4,26.8
충남,처리량,매 립,76.1,40.2,16.9,0,0,0
충남,처리량,소 각,244.6,136.5,11.7,0,0,0
충남,처리량,재활용,0.3,0.4,2.2,99.2,44.4,26.8
전북,발생량,소계,199.1,111.9,21.1,140,27.2,24.9
전북,처리량,매 립,97.3,64.4,21,0,0,0
전북,처리량,소 각,99.8,44.3,0,0,0,0
전북,처리량,재활용,2,3.2,0.1,140,27.2,24.9
전남,발생량,소계,334.7,153.8,21.9,72.8,26.2,33.7
전남,처리량,매 립,231.1,100.1,17.4,0,0,0
전남,처리량,소 각,101.3,50.7,3.3,0,0,0
전남,처리량,재활용,2.3,3,1.2,72.8,26.2,33.7
경북,발생량,소계,348.3,162.3,29.1,203.6,40.6,23.3
경북,처리량,매 립,97.4,39.5,25.2,0,0,0
경북,처리량,소 각,211.7,109.3,1,0,0,0
경북,처리량,재활용,39.2,13.5,2.9,203.6,40.6,23.3
경남,발생량,소계,423.8,311.1,37.8,201,84.9,49.8
경남,처리량,매 립,91.6,78.9,17.4,0,0,0
경남,처리량,소 각,325.9,223.1,13.5,0,0,0
경남,처리량,재활용,6.3,9.1,6.9,201,84.9,49.8
제주,발생량,소계,72.4,22,32.4,58.5,7.8,19.1
제주,처리량,매 립,6.6,3.7,32.4,0,0,0
제주,처리량,소 각,65.8,18.3,0,0,0,0
제주,처리량,재활용,0,0,0,58.5,7.8,19.1
