시도별(1),시도별(2),시도별(3),종이류,플라스틱류,유리류,종이류,유리병류,플라스틱류
합계,발생량,소계,5047,2858.7,480,4133.8,1580.9,1014.9
합계,처리량,매립,1165.1,748.7,363.5,0,0,0
합계,처리량,소 각,3675.7,1983.8,101,0,0,0
합계,처리량,재활용,206.2,126.2,15.5,4133.8,1580.9,1014.9
서울,발생량,소계,891.3,303.5,42.4,1376.3,418.6,288.8
서울,처리량,매 립,210.9,74.1,24.9,0,0,0
서울,처리량,소 각,680.4,229.4,17.5,0,0,0
서울,처리량,재활용,0,0,0,1376.3,418.6,288.8
부산,발생량,소계,302.5,199.6,18.9,628.9,173,41.1
부산,처리량,매 립,29.8,26.2,11.4,0,0,0
부산,처리량,소 각,157.1,91.1,6.3,0,0,0
부산,처리량,재활용,115.6,82.3,1.2,628.9,173,41.1
대구,발생량,소계,145.8,171.7,45,193.9,89.8,59.1
대구,처리량,매 립,81.4,103.4,40.1,0,0,0
대구,처리량,소 각,64.4,68.3,4.9,0,0,0
대구,처리량,재활용,0,0,0,193.9,89.8,59.1
인천,발생량,소계,131.8,57.2,17.6,11.2,22,39.2
인천,처리량,매 립,22.2,5.5,16.2,0,0,0
인천,처리량,소 각,109.6,49.5,1.4,0,0,0
인천,처리량,재활용,0,2.2,0,11.2,22,39.2
광주,발생량,소계,170,112.1,0.1,33.4,29.2,37.8
광주,처리량,매 립,74.4,48.4,0.1,0,0,0
광주,처리량,소 각,95.6,63.7,0,0,0,0
광주,처리량,재활용,0,0,0,33.4,29.2,37.8
대전,발생량,소계,135.6,74.1,12.8,152.2,85.4,90.1
대전,처리량,매 립,54.1,26.8,11.6,0,0,0
대전,처리량,소 각,81.5,47.3,1.2,0,0,0
대전,처리량,재활용,0,0,0,152.2,85.4,90.1
울산,발생량,소계,88.7,54.9,9.4,105.9,56.7,37.5
울산,처리량,매 립,0,0,0,0,0,0
울산,처리량,소 각,88.7,54.9,9.4,0,0,0
울산,처리량,재활용,0,0,0,105.9,56.7,37.5
세종,발생량,소계,22.4,14,1.7,1.3,1.2,11.3
세종,처리량,매립,3.4,2.1,0.3,0,0,0
세종,처리량,소각,13.7,8.6,1,0,0,0
세종,처리량,재활용,5.3,3.3,0.4,1.3,1.2,11.3
경기,발생량,소계,1196.9,661.3,85.2,517.5,400,225.9
경기,처리량,매 립,119.3,63.4,63.9,0,0,0
경기,처리량,소 각,1074.6,589.1,20.2,0,0,0
경기,처리량,재활용,3,8.8,1.1,517.5,400,225.9
강원,발생량,소계,206.7,129.3,23.1,163.2,41.5,13.8
강원,처리량,매 립,53.1,59.5,21.9,0,0,0
강원,처리량,소 각,102.9,66.8,1.2,0,0,0
강원,처리량,재활용,50.7,3,0,163.2,41.5,13.8
충북,발생량,소계,188.8,137.7,17.3,115.3,37.1,29.3
충북,처리량,매 립,35.2,23.5,7.9,0,0,0
충북,처리량,소 각,151.8,112.5,9,0,0,0
충북,처리량,재활용,1.8,1.7,0.4,115.3,37.1,29.3
충남,발생량,소계,227.6,172.3,31,177.3,40.5,17.4
충남,처리량,매 립,48.9,30.3,14.8,0,0,0
충남,처리량,소 각,177.6,141.5,13.2,0,0,0
충남,처리량,재활용,1.1,0.5,3,177.3,40.5,17.4
전북,발생량,소계,208.7,133.2,20.5,137.7,23.5,13
전북,처리량,매 립,75.6,54.1,18.4,0,0,0
전북,처리량,소 각,126.2,73.3,0,0,0,0
전북,처리량,재활용,6.9,5.8,2.1,137.7,23.5,13
전남,발생량,소계,298,175.4,24.4,66.3,24.4,19.6
전남,처리량,매 립,187.2,111.9,20.2,0,0,0
전남,처리량,소 각,107.9,59.4,2.9,0,0,0
전남,처리량,재활용,2.9,4.1,1.3,66.3,24.4,19.6
경북,발생량,소계,350.8,193.4,50.8,92.9,43.4,23.7
경북,처리량,매 립,107.3,57.5,43.7,0,0,0
경북,처리량,소 각,233.5,126.5,2.3,0,0,0
경북,처리량,재활용,10,9.4,4.8,92.9,43.4,23.7
경남,발생량,소계,411.2,256.4,29.2,221.3,86.7,58.5
경남,처리량,매 립,59.5,60.5,17.5,0,0,0
경남,처리량,소 각,342.8,190.8,10.5,0,0,0
경남,처리량,재활용,8.9,5.1,1.2,221.3,86.7,58.5
제주,발생량,소계,70.2,12.6,50.6,139.2,7.9,8.8
제주,처리량,매 립,2.8,1.5,50.6,0,0,0
제주,처리량,소 각,67.4,11.1,0,0,0,0
제주,처리량,재활용,0,0,0,139.2,7.9,8.8
