시도별(1),시도별(2),시도별(3),종이류,플라스틱류,유리류,종이류,유리병류,플라스틱류
합계,발생량,소계,5371.1,3265.3,430,4236.2,1582.4,966.7
합계,처리량,매립,1318.1,829.1,274.5,0,0,0
합계,처리량,소 각,3820.3,2133.3,115.9,0,0,0
합계,처리량,재활용,232.7,302.9,39.6,4236.2,1582.4,966.7
서울,발생량,소계,956.3,328.6,23.7,1332.8,420.7,272.4
서울,처리량,매 립,261.7,81.2,14.5,0,0,0
서울,처리량,소 각,694.6,247.4,9.2,0,0,0
서울,처리량,재활용,0,0,0,1332.8,420.7,272.4
부산,발생량,소계,207.5,231.8,7,607.7,171.3,51.2
부산,처리량,매 립,24.6,48.2,2.1,0,0,0
부산,처리량,소 각,128.9,57.6,2.8,0,0,0
부산,처리량,재활용,54,126,2.1,607.7,171.3,51.2
대구,발생량,소계,286.6,216.1,48,193.9,93.6,58.7
대구,처리량,매 립,128.3,110.6,21.4,0,0,0
대구,처리량,소 각,70.2,56.6,6.8,0,0,0
대구,처리량,재활용,88.1,48.9,19.8,193.9,93.6,58.7
인천,발생량,소계,198.9,89.8,18.2,109.4,47,32.8
인천,처리량,매 립,33.9,17.5,15.6,0,0,0
인천,처리량,소 각,165,72.3,2.6,0,0,0
인천,처리량,재활용,0,0,0,109.4,47,32.8
광주,발생량,소계,147.6,108.6,0,11.2,23.6,28.7
광주,처리량,매 립,96.8,54.6,0,0,0,0
광주,처리량,소 각,50.8,54,0,0,0,0
광주,처리량,재활용,0,0,0,11.2,23.6,28.7
대전,발생량,소계,138,70,20.9,149.4,82.6,50.4
대전,처리량,매 립,55.2,25.7,16.8,0,0,0
대전,처리량,소 각,82.8,44.3,4.1,0,0,0
대전,처리량,재활용,0,0,0,149.4,82.6,50.4
울산,발생량,소계,96.2,73.1,13.3,106.4,55.5,23.1
울산,처리량,매 립,0,0,8,0,0,0
울산,처리량,소 각,96.2,73.1,5.3,0,0,0
울산,처리량,재활용,0,0,0,106.4,55.5,23.1
세종,발생량,소계,27.1,17,2.2,8.9,0.8,0.3
세종,처리량,매립,3.8,2.4,0.3,0,0,0
세종,처리량,소각,14.8,9.3,1.2,0,0,0
세종,처리량,재활용,8.5,5.3,0.7,8.9,0.8,0.3
경기,발생량,소계,1211.1,768.2,49.8,500.2,392.9,206.7
경기,처리량,매 립,140.7,94.8,18.4,0,0,0
경기,처리량,소 각,1049.6,645.5,29.2,0,0,0
경기,처리량,재활용,20.8,27.9,2.2,500.2,392.9,206.7
강원,발생량,소계,184.9,105.2,24,158.1,40.2,30.9
강원,처리량,매 립,62.2,41.2,22.5,0,0,0
강원,처리량,소 각,118.4,56.1,1.4,0,0,0
강원,처리량,재활용,4.3,7.9,0.1,158.1,40.2,30.9
충북,발생량,소계,220,151.1,39.5,391.3,18.5,11.3
충북,처리량,매 립,28,19.1,21.9,0,0,0
충북,처리량,소 각,191.3,131,17.3,0,0,0
충북,처리량,재활용,0.7,1,0.3,391.3,18.5,11.3
충남,발생량,소계,279,199.9,30.4,75.6,37.3,25.5
충남,처리량,매 립,30.9,24.2,11.3,0,0,0
충남,처리량,소 각,247,175.5,19.1,0,0,0
충남,처리량,재활용,1.1,0.2,0,75.6,37.3,25.5
전북,발생량,소계,228.9,153.6,27.3,97.1,26,39.1
전북,처리량,매 립,91.9,61.7,23.9,0,0,0
전북,처리량,소 각,128.8,85,1.1,0,0,0
전북,처리량,재활용,8.2,6.9,2.3,97.1,26,39.1
전남,발생량,소계,297,192.4,30.7,68.5,24.2,26.7
전남,처리량,매 립,165.2,111.7,21.1,0,0,0
전남,처리량,소 각,99.4,51.6,3.1,0,0,0
전남,처리량,재활용,32.4,29.1,6.5,68.5,24.2,26.7
경북,발생량,소계,385.9,250.9,31.9,65.6,37,27.3
경북,처리량,매 립,116.8,74.3,22.6,0,0,0
경북,처리량,소 각,261.4,131.7,5.2,0,0,0
경북,처리량,재활용,7.7,44.9,4.1,65.6,37,27.3
경남,발생량,소계,408.1,277.5,30.2,243.9,98.7,54.9
경남,처리량,매 립,71.5,58.9,21.2,0,0,0
경남,처리량,소 각,329.7,213.8,7.5,0,0,0
경남,처리량,재활용,6.9,4.8,1.5,243.9,98.7,54.9
제주,발생량,소계,98,31.5,32.9,116.2,12.5,26.7
제주,처리량,매 립,6.6,3,32.9,0,0,0
제주,처리량,소 각,91.4,28.5,0,0,0,0
제주,처리량,재활용,0,0,0,116.2,12.5,26.7
